SIDO,STD_YYYYMM,평균기온,평균상대습도,평균증기압,평균최고기온,평균최저기온,평균풍속
경기도,200509,21.1,77.0,19.3,26.2,17.2,1.5
인천광역시,200509,20.8,76.7,19.1,25.4,17.5,2.7
서울특별시,200509,21.8,71.0,18.6,25.7,18.6,2.3
경상북도,200509,20.5,80.1,19.6,25.2,16.8,1.8
충청북도,200509,21.0,74.5,18.9,26.1,17.0,1.5
충청남도,200509,21.8,76.2,20.1,26.9,17.8,1.8
대전광역시,200509,22.1,74.0,20.0,26.3,18.6,2.0
전라북도,200509,22.0,77.7,20.8,27.2,18.0,1.6
대구광역시,200509,22.6,72.0,20.2,27.1,19.3,2.4
울산광역시,200509,22.5,75.0,20.9,26.4,19.7,2.4
경상남도,200509,22.5,76.7,21.3,27.1,19.1,1.6
광주광역시,200509,23.5,76.0,21.8,27.9,19.9,2.2
부산광역시,200509,22.8,76.0,21.5,26.4,20.3,3.3
전라남도,200509,22.8,81.4,23.0,27.0,19.8,3.7
제주특별자치도,200509,24.8,76.2,24.4,28.0,22.4,4.1
세종특별자치시,200509,22.0,76.2,20.5,26.4,18.6,2.3
강원도,200510,12.5,72.1,10.7,18.6,7.8,1.8
경기도,200510,13.0,74.4,11.3,19.9,7.9,1.0
인천광역시,200510,14.1,66.7,11.1,19.2,10.0,2.5
서울특별시,200510,14.7,65.0,11.0,19.4,10.7,1.7
경상북도,200510,13.7,72.7,11.7,19.7,8.8,1.8
충청북도,200510,12.6,72.8,10.9,19.6,7.2,1.0
충청남도,200510,13.5,74.0,11.6,20.4,8.0,1.1
대전광역시,200510,14.2,71.0,11.7,19.9,9.2,1.4
전라북도,200510,13.6,74.3,11.8,20.4,8.0,1.2
대구광역시,200510,15.8,62.0,11.5,21.2,11.3,1.9
울산광역시,200510,16.5,63.0,12.3,21.6,12.3,2.0
경상남도,200510,15.4,70.3,12.6,21.8,10.3,1.3
광주광역시,200510,15.7,68.0,12.4,21.4,11.0,1.4
부산광역시,200510,17.1,61.0,12.5,21.9,13.8,2.6
전라남도,200510,15.9,70.2,13.1,21.2,11.6,3.4
제주특별자치도,200510,18.9,64.8,14.8,22.3,16.1,4.2
세종특별자치시,200510,14.8,68.9,11.9,20.5,10.2,1.9
강원도,200511,6.3,59.5,5.9,12.6,1.1,2.0
경기도,200511,6.7,64.8,6.7,13.4,0.9,1.2
인천광역시,200511,8.3,59.7,7.1,12.7,4.4,3.3
서울특별시,200511,8.6,55.0,6.7,12.9,4.6,2.2
경상북도,200511,7.6,60.8,6.6,14.3,1.7,2.0
충청북도,200511,6.3,62.5,6.3,13.7,-0.1,1.2
충청남도,200511,7.4,67.2,7.2,14.6,1.1,1.4
대전광역시,200511,8.3,60.0,6.9,14.6,2.6,1.5
전라북도,200511,7.8,66.3,7.4,14.7,1.8,1.4
대구광역시,200511,10.0,49.0,6.3,15.8,4.9,1.9
울산광역시,200511,10.7,49.0,6.6,17.2,5.2,1.7
경상남도,200511,9.3,61.1,7.5,16.3,3.5,1.4
광주광역시,200511,10.2,61.0,8.0,15.7,5.2,1.6
부산광역시,200511,11.6,47.0,7.0,16.5,8.0,2.5
전라남도,200511,10.4,65.6,8.8,15.7,5.9,3.5
제주특별자치도,200511,14.2,59.8,10.3,17.8,10.8,4.2
세종특별자치시,200511,9.0,59.3,7.2,14.9,3.8,2.1
강원도,200512,-5.2,51.3,2.0,0.4,-10.4,2.5
경기도,200512,-5.2,60.0,2.4,0.5,-10.6,1.6
인천광역시,200512,-3.6,57.7,2.8,0.2,-7.0,3.5
서울특별시,200512,-3.9,51.0,2.4,-0.1,-7.4,2.5
경상북도,200512,-2.5,52.8,2.7,2.8,-7.4,3.0
충청북도,200512,-5.2,59.8,2.5,0.6,-10.8,1.5
충청남도,200512,-3.5,70.2,3.3,1.8,-8.6,1.6
대전광역시,200512,-2.9,63.0,3.1,2.0,-7.6,1.5
전라북도,200512,-2.9,72.6,3.6,2.2,-8.0,1.4
대구광역시,200512,-0.3,43.0,2.6,4.5,-4.4,3.1
울산광역시,200512,1.2,36.0,2.5,6.4,-3.3,3.0
경상남도,200512,0.1,52.0,3.2,6.1,-5.0,2.0
광주광역시,200512,-0.6,71.0,4.1,3.7,-4.3,1.7
부산광역시,200512,1.2,37.0,2.6,6.1,-2.8,3.0
전라남도,200512,0.7,69.5,4.5,5.0,-3.0,4.5
제주특별자치도,200512,5.8,62.8,5.9,9.0,2.8,6.2
세종특별자치시,200512,-1.7,56.9,3.1,3.2,-6.1,2.7
강원도,200601,-2.3,62.5,3.3,3.2,-6.9,1.8
경기도,200601,-1.6,65.8,3.7,4.1,-6.5,1.3
인천광역시,200601,-1.1,61.3,3.6,2.6,-4.3,2.7
서울특별시,200601,-0.2,57.0,3.6,3.4,-3.3,2.1
경상북도,200601,0.2,60.8,3.9,5.4,-4.4,2.3
충청북도,200601,-1.3,62.5,3.6,4.4,-6.2,1.2
충청남도,200601,-0.4,69.6,4.2,4.9,-4.8,1.4
대전광역시,200601,0.3,65.0,4.2,5.2,-3.8,1.4
전라북도,200601,0.4,69.6,4.5,5.5,-3.8,1.3
대구광역시,200601,2.6,49.0,3.9,7.0,-1.2,2.3
울산광역시,200601,3.6,48.0,4.1,8.4,-0.4,2.2
경상남도,200601,2.2,57.4,4.3,7.9,-2.5,1.5
광주광역시,200601,2.6,64.0,4.9,7.0,-1.1,1.6
부산광역시,200601,3.9,46.0,4.1,8.4,0.7,2.9
전라남도,200601,2.5,69.0,5.2,6.6,-1.0,3.9
제주특별자치도,200601,7.4,64.2,7.0,10.3,4.7,4.6
세종특별자치시,200601,1.2,60.7,4.3,5.9,-2.8,2.2
강원도,200602,-0.9,56.5,3.3,4.5,-5.9,2.4
경기도,200602,-0.7,59.4,3.6,5.1,-6.0,1.7
인천광역시,200602,-0.9,59.7,3.6,3.2,-4.8,3.6
서울특별시,200602,0.1,53.0,3.5,4.2,-4.0,2.6
경상북도,200602,1.1,59.2,4.1,6.3,-3.7,2.7
충청북도,200602,-0.6,59.2,3.6,5.0,-5.8,1.6
충청남도,200602,0.1,64.6,4.1,5.4,-5.0,1.9
대전광역시,200602,0.9,60.0,4.1,5.9,-3.9,1.8
전라북도,200602,0.6,66.0,4.4,5.8,-4.4,1.9
대구광역시,200602,3.1,48.0,3.9,8.1,-1.3,2.7
울산광역시,200602,4.1,48.0,4.3,9.2,-0.6,2.5
경상남도,200602,2.8,56.3,4.4,8.5,-2.4,1.9
광주광역시,200602,2.5,61.0,4.6,7.5,-1.9,2.0
부산광역시,200602,4.0,49.0,4.4,8.9,0.0,3.4
전라남도,200602,2.2,67.4,5.0,6.8,-2.0,4.5
제주특별자치도,200602,6.5,63.0,6.4,9.8,3.3,5.4
세종특별자치시,200602,1.6,58.1,4.2,6.5,-3.0,2.7
강원도,200603,4.1,50.3,4.0,10.2,-1.8,2.7
경기도,200603,4.5,56.6,4.7,11.2,-1.5,2.2
인천광역시,200603,3.7,59.0,4.8,8.2,-0.2,4.1
서울특별시,200603,5.2,51.0,4.5,9.9,0.9,2.9
경상북도,200603,5.8,52.8,4.8,12.1,-0.2,2.8
충청북도,200603,4.8,50.8,4.3,11.4,-1.7,2.1
충청남도,200603,4.6,58.0,4.8,11.2,-2.0,2.3
대전광역시,200603,6.1,51.0,4.8,12.1,0.4,2.2
전라북도,200603,5.4,59.3,5.2,12.0,-0.9,2.2
대구광역시,200603,8.2,41.0,4.5,14.1,2.8,2.9
울산광역시,200603,8.4,48.0,5.4,14.1,3.1,2.7
경상남도,200603,7.4,53.6,5.6,14.0,1.2,2.1
광주광역시,200603,7.3,56.0,5.7,13.5,2.0,2.0
부산광역시,200603,8.0,50.0,5.8,13.3,3.8,3.5
전라남도,200603,6.3,63.8,6.3,11.9,1.2,4.3
제주특별자치도,200603,9.8,61.0,7.8,13.7,6.0,4.8
세종특별자치시,200603,6.2,53.9,5.2,12.1,0.8,2.9
강원도,200604,9.6,59.7,7.0,15.3,4.5,2.7
경기도,200604,11.1,58.0,7.6,17.4,5.7,2.3
인천광역시,200604,9.4,64.0,7.7,13.8,5.8,4.4
서울특별시,200604,11.6,55.0,7.5,16.2,7.7,3.0
경상북도,200604,10.9,60.4,7.9,16.9,5.4,2.8
충청북도,200604,10.8,55.5,7.2,17.1,4.6,2.2
충청남도,200604,10.4,65.2,8.2,16.0,4.7,2.5
대전광역시,200604,11.7,60.0,8.2,17.0,7.0,2.3
전라북도,200604,10.7,67.4,8.7,16.7,5.1,2.3
대구광역시,200604,13.4,52.0,7.9,19.1,8.6,2.9
울산광역시,200604,13.0,59.0,8.7,18.1,8.3,2.8
경상남도,200604,12.4,64.0,9.2,18.0,7.0,2.1
광주광역시,200604,12.2,65.0,9.2,17.9,7.4,2.1
부산광역시,200604,12.2,63.0,9.1,16.5,8.6,3.8
전라남도,200604,11.0,70.8,9.4,16.0,6.4,4.4
제주특별자치도,200604,13.7,65.8,10.5,17.4,10.3,4.6
세종특별자치시,200604,11.5,61.6,8.4,16.8,6.7,3.0
강원도,200605,16.0,65.5,11.6,21.9,10.7,2.1
경기도,200605,17.8,63.2,12.7,24.1,12.1,1.7
인천광역시,200605,15.9,69.0,12.4,20.8,11.8,3.3
서울특별시,200605,18.4,57.0,12.0,23.4,14.0,2.5
경상북도,200605,16.7,67.4,12.7,22.6,11.3,2.1
충청북도,200605,17.4,61.0,12.1,23.6,11.8,1.7
충청남도,200605,17.3,67.6,13.2,23.1,11.9,1.9
대전광역시,200605,18.5,64.0,13.4,24.0,13.4,2.2
전라북도,200605,17.6,70.9,14.1,23.6,12.2,1.8
대구광역시,200605,18.9,59.0,12.6,24.3,14.2,2.6
울산광역시,200605,17.5,67.0,13.3,22.6,13.5,2.3
경상남도,200605,17.4,70.7,14.0,23.1,12.6,1.8
광주광역시,200605,18.4,70.0,14.7,23.9,13.7,2.0
부산광역시,200605,16.3,72.0,13.6,20.8,13.2,3.2
전라남도,200605,16.2,77.5,14.3,21.0,12.2,3.7
제주특별자치도,200605,16.8,77.2,15.1,20.4,14.0,4.0
세종특별자치시,200605,17.3,67.4,13.2,22.7,12.7,2.4
강원도,200606,19.9,72.8,16.7,25.3,15.5,1.9
경기도,200606,21.3,73.0,18.3,26.9,16.8,1.5
인천광역시,200606,19.2,80.7,18.1,23.5,16.0,3.0
서울특별시,200606,21.8,68.0,17.6,26.3,18.1,2.2
경상북도,200606,20.8,71.7,17.5,26.6,15.9,1.8
충청북도,200606,21.5,68.8,17.5,27.2,16.5,1.5
충청남도,200606,21.2,72.2,18.0,26.8,16.6,1.8
대전광역시,200606,22.3,69.0,18.4,27.5,17.8,1.8
전라북도,200606,21.9,73.3,19.1,27.8,16.9,1.5
대구광역시,200606,23.4,61.0,17.2,28.8,18.6,2.5
울산광역시,200606,21.8,68.0,17.7,27.0,17.6,1.9
경상남도,200606,21.5,73.8,18.8,27.1,16.9,1.7
광주광역시,200606,22.6,71.0,19.2,27.7,18.4,1.8
부산광역시,200606,20.3,75.0,18.1,24.1,17.2,2.3
전라남도,200606,20.4,81.1,19.6,24.9,16.9,3.1
제주특별자치도,200606,20.7,82.8,20.7,23.8,18.2,3.1
세종특별자치시,200606,21.3,72.6,18.3,26.3,17.1,2.1
강원도,200607,21.5,83.9,21.7,25.0,18.9,1.6
경기도,200607,23.1,84.0,24.1,26.8,20.4,1.4
인천광역시,200607,22.0,85.0,22.9,25.1,19.8,3.0
서울특별시,200607,23.1,82.0,23.4,26.0,20.9,2.3
경상북도,200607,22.2,85.8,23.3,26.0,19.6,1.5
충청북도,200607,22.7,83.2,23.4,26.5,20.1,1.4
충청남도,200607,23.2,83.0,24.0,26.7,20.6,1.9
대전광역시,200607,23.1,85.0,24.3,26.2,20.7,1.9
전라북도,200607,24.0,84.6,25.5,27.9,21.3,1.6
대구광역시,200607,24.2,80.0,24.2,27.7,21.5,2.1
울산광역시,200607,23.7,80.0,23.7,27.2,21.1,1.8
경상남도,200607,23.7,84.3,25.1,27.2,21.1,1.5
광주광역시,200607,24.5,84.0,26.1,27.7,22.1,2.1
부산광역시,200607,22.6,85.0,23.8,25.3,20.1,2.9
전라남도,200607,23.4,88.5,25.9,26.6,21.2,3.7
제주특별자치도,200607,24.9,85.8,27.3,27.6,22.8,3.7
세종특별자치시,200607,23.2,84.0,24.3,26.6,20.8,2.2
강원도,200608,24.9,76.2,24.0,29.9,21.2,1.7
경기도,200608,26.3,73.4,25.2,31.8,22.3,1.4
인천광역시,200608,25.6,76.0,25.2,29.7,22.6,2.4
서울특별시,200608,27.0,69.0,24.8,31.1,23.9,2.1
경상북도,200608,25.8,77.2,25.6,31.1,21.8,1.6
충청북도,200608,26.0,74.8,25.2,31.6,21.9,1.2
충청남도,200608,26.1,74.4,25.3,31.5,22.1,1.5
대전광역시,200608,26.7,75.0,26.4,31.5,22.9,1.5
전라북도,200608,26.5,77.6,26.9,32.2,22.6,1.3
대구광역시,200608,28.2,68.0,25.6,33.3,24.3,2.3
울산광역시,200608,27.3,72.0,25.9,32.0,23.5,2.0
경상남도,200608,26.9,76.2,27.1,32.3,23.1,1.4
광주광역시,200608,27.0,76.0,27.3,31.8,23.7,1.4
부산광역시,200608,27.5,74.0,27.2,31.3,24.5,2.9
전라남도,200608,26.6,81.2,28.5,31.3,23.5,2.3
제주특별자치도,200608,27.8,76.0,28.6,31.0,25.1,2.8
세종특별자치시,200608,26.6,74.8,26.2,31.5,23.1,1.9
강원도,200609,17.8,73.5,15.0,23.7,12.9,1.7
경기도,200609,19.5,69.8,15.6,25.7,14.3,1.3
인천광역시,200609,20.4,66.7,16.0,25.0,16.5,2.3
서울특별시,200609,21.1,58.0,14.5,25.7,16.9,2.1
경상북도,200609,18.5,76.9,16.4,24.2,13.8,1.8
충청북도,200609,18.6,70.8,15.0,24.9,13.4,1.3
충청남도,200609,19.4,71.4,16.0,25.4,14.3,1.5
대전광역시,200609,20.0,70.0,16.3,25.2,15.3,1.8
전라북도,200609,19.3,74.0,16.6,25.8,14.2,1.3
대구광역시,200609,20.6,67.0,16.3,25.4,16.5,2.2
울산광역시,200609,20.5,72.0,17.4,24.6,17.0,2.4
경상남도,200609,19.9,74.1,17.2,25.3,15.7,1.5
광주광역시,200609,20.5,70.0,16.9,25.4,16.3,1.7
부산광역시,200609,21.3,69.0,17.7,25.2,18.6,3.6
전라남도,200609,20.1,75.5,18.0,24.8,16.4,2.9
제주특별자치도,200609,22.1,70.8,19.1,25.0,19.8,3.8
세종특별자치시,200609,20.0,70.6,16.5,25.1,15.7,2.1
강원도,200610,15.1,72.5,12.4,21.4,10.0,1.8
경기도,200610,16.2,73.2,13.4,23.0,10.8,1.2
인천광역시,200610,17.1,71.7,14.3,21.7,13.4,2.5
서울특별시,200610,17.9,62.0,12.9,22.6,13.9,2.0
경상북도,200610,16.0,73.7,13.4,23.1,10.5,1.7
충청북도,200610,15.3,72.5,12.4,22.8,9.3,1.1
충청남도,200610,16.2,74.6,13.7,23.1,10.7,1.2
대전광역시,200610,17.1,69.0,13.3,23.6,11.5,1.3
전라북도,200610,16.4,73.6,13.6,24.3,10.3,1.1
대구광역시,200610,18.6,62.0,13.1,24.7,13.7,1.7
울산광역시,200610,18.6,69.0,14.8,24.5,14.3,1.8
경상남도,200610,17.4,72.2,14.3,24.5,12.3,1.2
광주광역시,200610,18.2,66.0,13.7,24.4,13.2,1.1
부산광역시,200610,20.0,65.0,15.4,24.6,17.0,2.5
전라남도,200610,17.8,74.4,15.2,23.9,13.3,2.5
제주특별자치도,200610,20.1,66.2,15.7,24.0,16.7,3.1
세종특별자치시,200610,17.4,69.8,13.8,23.5,12.6,1.7
강원도,200611,6.2,65.5,6.4,11.4,1.4,2.2
경기도,200611,6.9,65.2,6.8,12.8,1.5,1.6
인천광역시,200611,8.4,61.3,7.3,12.3,4.6,3.7
서울특별시,200611,8.4,58.0,6.7,12.4,4.5,2.4
경상북도,200611,8.0,67.8,7.5,13.7,3.1,2.2
충청북도,200611,7.2,69.0,7.2,13.0,1.9,1.5
충청남도,200611,8.0,67.8,7.5,14.0,2.3,2.0
대전광역시,200611,8.8,65.0,7.6,14.2,3.8,1.9
전라북도,200611,8.8,67.0,7.9,15.0,3.3,1.7
대구광역시,200611,10.2,57.0,7.3,15.0,5.8,2.0
울산광역시,200611,11.4,58.0,8.2,16.4,7.0,2.3
경상남도,200611,10.1,63.1,8.0,15.8,5.0,1.7
광주광역시,200611,11.0,62.0,8.5,16.0,6.5,2.0
부산광역시,200611,13.1,53.0,8.5,16.9,9.9,3.6
전라남도,200611,11.0,66.9,9.1,15.6,6.8,3.8
제주특별자치도,200611,14.8,62.5,11.0,18.2,11.8,4.6
세종특별자치시,200611,9.5,63.1,7.8,14.5,5.0,2.4
강원도,200612,-0.6,64.9,3.9,5.0,-5.1,1.8
경기도,200612,-0.4,68.0,4.1,5.5,-5.2,1.2
인천광역시,200612,1.4,63.7,4.5,5.2,-2.0,3.0
서울특별시,200612,1.4,59.0,4.2,5.4,-2.0,2.1
경상북도,200612,1.5,64.8,4.6,7.3,-3.2,2.1
충청북도,200612,0.2,73.0,4.7,6.0,-4.3,1.2
충청남도,200612,1.0,72.4,4.9,6.9,-3.5,1.5
대전광역시,200612,1.5,70.0,5.0,7.0,-2.8,1.4
전라북도,200612,1.7,74.9,5.3,7.5,-2.9,1.2
대구광역시,200612,3.6,54.0,4.5,8.6,-0.5,2.1
울산광역시,200612,5.1,53.0,5.0,10.6,0.8,2.0
경상남도,200612,3.4,62.9,5.0,9.5,-1.4,1.5
광주광역시,200612,3.6,70.0,5.7,8.1,-0.2,1.5
부산광역시,200612,6.6,47.0,4.9,11.0,3.1,2.7
전라남도,200612,4.4,68.8,5.9,9.1,0.6,3.5
제주특별자치도,200612,9.1,63.8,7.7,12.2,6.3,4.3
세종특별자치시,200612,2.7,64.4,5.0,7.8,-1.4,2.1
강원도,200701,-1.5,61.8,3.3,4.4,-6.2,1.8
경기도,200701,-1.6,66.8,3.6,4.7,-6.8,1.2
인천광역시,200701,0.1,62.3,3.9,4.0,-3.2,2.9
서울특별시,200701,0.4,56.0,3.6,4.1,-2.8,2.0
경상북도,200701,0.9,58.6,3.8,6.8,-3.9,2.3
충청북도,200701,-1.1,68.0,3.8,5.0,-6.0,1.2
충청남도,200701,-0.4,70.8,4.1,5.4,-5.3,1.4
대전광역시,200701,0.4,65.0,4.0,5.7,-3.9,1.4
전라북도,200701,0.4,72.4,4.5,6.0,-4.1,1.3
대구광역시,200701,3.3,46.0,3.6,8.1,-0.6,2.3
울산광역시,200701,4.8,46.0,4.0,9.9,0.8,2.2
경상남도,200701,2.4,57.6,4.1,8.7,-2.5,1.6
광주광역시,200701,2.4,64.0,4.6,7.0,-1.2,1.4
부산광역시,200701,5.2,43.0,4.0,9.7,2.1,3.2
전라남도,200701,2.7,65.2,4.8,7.1,-1.0,3.7
제주특별자치도,200701,7.2,61.8,6.5,10.2,4.7,4.6
세종특별자치시,200701,1.6,60.3,4.1,6.7,-2.5,2.2
강원도,200702,1.9,61.0,4.3,8.5,-3.7,2.0
경기도,200702,2.2,61.8,4.4,9.4,-3.8,1.4
인천광역시,200702,3.0,61.0,4.8,7.4,-0.7,3.2
서울특별시,200702,4.0,53.0,4.4,8.7,0.1,2.3
경상북도,200702,3.9,61.5,5.1,10.3,-1.6,2.3
충청북도,200702,2.5,63.5,4.6,9.6,-3.6,1.4
충청남도,200702,2.9,67.2,5.0,9.9,-2.9,1.6
대전광역시,200702,4.2,59.0,4.9,10.4,-1.2,1.8
전라북도,200702,3.7,69.4,5.5,10.4,-1.7,1.5
대구광역시,200702,6.2,51.0,4.9,11.9,1.2,2.4
울산광역시,200702,7.1,56.0,5.9,12.6,2.2,2.1
경상남도,200702,5.4,60.4,5.5,12.3,-0.5,1.6
광주광역시,200702,5.9,63.0,5.9,11.7,1.0,1.7
부산광역시,200702,7.9,53.0,6.0,12.8,4.1,3.1
전라남도,200702,5.4,68.6,6.3,10.9,0.8,3.8
제주특별자치도,200702,9.4,63.5,7.8,13.1,5.9,4.4
세종특별자치시,200702,4.7,60.8,5.3,10.6,-0.3,2.3
강원도,200703,4.7,63.7,5.7,10.2,-0.2,2.6
경기도,200703,5.2,66.4,6.2,11.3,-0.2,1.9
인천광역시,200703,5.0,67.3,6.2,8.9,1.4,3.8
서울특별시,200703,6.1,60.0,5.9,10.3,2.3,2.7
경상북도,200703,6.4,62.9,6.4,12.3,1.4,2.5
충청북도,200703,5.4,64.5,6.0,11.8,-0.2,2.0
충청남도,200703,6.0,68.6,6.6,12.2,0.5,2.2
대전광역시,200703,6.9,62.0,6.4,12.6,2.0,2.1
전라북도,200703,6.7,67.3,6.9,13.1,1.2,2.1
대구광역시,200703,8.8,52.0,6.2,14.4,4.2,2.9
울산광역시,200703,8.8,60.0,7.3,14.2,4.2,2.4
경상남도,200703,8.3,60.2,7.0,14.1,3.0,2.1
광주광역시,200703,8.4,62.0,7.2,14.1,3.6,2.0
부산광역시,200703,9.1,55.0,6.9,13.4,5.8,3.6
전라남도,200703,7.5,69.0,7.6,12.7,3.2,4.2
제주특별자치도,200703,10.8,64.0,8.9,14.3,7.5,4.6
세종특별자치시,200703,7.1,62.8,6.7,12.5,2.5,2.7
강원도,200704,10.2,57.5,6.9,16.2,4.5,2.2
경기도,200704,10.7,59.0,7.4,17.4,4.6,1.9
인천광역시,200704,9.7,64.3,7.8,13.7,6.3,3.9
서울특별시,200704,11.4,53.0,7.1,16.1,7.5,2.8
경상북도,200704,11.6,56.6,7.5,18.0,5.3,2.5
충청북도,200704,10.8,54.5,6.8,18.0,3.9,1.8
충청남도,200704,10.6,62.0,7.7,17.2,4.0,2.1
대전광역시,200704,12.0,52.0,7.1,18.0,6.0,2.1
전라북도,200704,10.8,61.6,7.8,17.6,4.3,2.0
대구광역시,200704,14.2,44.0,7.0,19.9,8.6,2.6
울산광역시,200704,13.5,56.0,8.7,19.3,8.2,2.6
경상남도,200704,12.7,56.6,8.2,19.1,6.4,2.0
광주광역시,200704,12.5,57.0,8.2,18.7,7.2,1.9
부산광역시,200704,13.2,53.0,8.2,17.5,9.7,3.8
전라남도,200704,11.5,63.5,8.6,17.0,6.4,3.6
제주특별자치도,200704,14.0,57.0,9.3,17.8,10.3,3.9
세종특별자치시,200704,11.8,56.7,7.8,17.6,6.4,2.6
강원도,200705,16.5,64.1,11.6,22.5,11.2,2.4
경기도,200705,17.2,67.6,13.0,23.8,11.7,1.7
인천광역시,200705,15.6,70.3,12.4,19.9,11.8,3.8
서울특별시,200705,18.1,62.0,12.6,23.4,13.6,2.6
경상북도,200705,17.3,63.5,12.0,23.9,11.4,2.3
충청북도,200705,17.3,63.2,11.9,24.1,11.2,1.8
충청남도,200705,17.2,68.6,13.1,23.4,11.5,2.3
대전광역시,200705,18.3,61.0,12.4,24.1,12.9,2.2
전라북도,200705,17.5,65.6,12.7,24.0,11.5,2.0
대구광역시,200705,19.9,51.0,11.3,26.3,14.3,2.5
울산광역시,200705,18.8,65.0,13.8,24.8,13.8,2.4
경상남도,200705,18.4,63.3,12.9,24.7,12.6,2.0
광주광역시,200705,18.9,63.0,13.3,24.8,13.9,2.1
부산광역시,200705,17.8,65.0,13.1,21.8,14.5,3.6
전라남도,200705,17.0,71.2,13.6,22.2,12.5,3.9
제주특별자치도,200705,18.5,66.0,14.1,22.4,15.1,3.9
세종특별자치시,200705,17.8,64.4,12.7,23.5,12.7,2.6
강원도,200706,20.5,69.2,16.6,26.2,15.1,1.9
경기도,200706,22.1,67.6,17.8,27.9,16.8,1.4
인천광역시,200706,20.9,69.3,17.1,25.1,17.4,2.7
서울특별시,200706,23.2,61.0,17.1,27.7,19.2,2.3
경상북도,200706,20.9,72.8,18.0,26.5,16.0,1.8
충청북도,200706,21.8,66.2,17.0,27.8,16.4,1.5
충청남도,200706,22.0,70.6,18.5,27.3,17.3,1.8
대전광역시,200706,22.5,66.0,18.0,27.5,18.1,1.8
전라북도,200706,22.0,72.4,19.1,27.4,17.5,1.6
대구광역시,200706,23.0,63.0,17.5,28.3,18.6,2.3
울산광역시,200706,21.7,77.0,20.1,26.1,17.9,2.1
경상남도,200706,21.9,72.2,19.0,26.9,17.7,1.7
광주광역시,200706,22.9,72.0,20.0,27.6,19.2,2.0
부산광역시,200706,20.5,74.0,18.2,23.8,18.0,3.1
전라남도,200706,20.5,81.2,19.8,24.4,17.5,3.0
제주특별자치도,200706,21.3,81.2,21.0,24.3,18.9,3.2
세종특별자치시,200706,21.7,71.0,18.4,26.6,17.6,2.1
강원도,200707,22.2,80.6,21.7,26.1,19.2,1.8
경기도,200707,23.5,79.4,23.0,27.9,20.1,1.4
인천광역시,200707,22.3,80.7,22.0,25.9,19.6,2.6
서울특별시,200707,24.2,75.0,22.6,27.8,21.3,2.4
경상북도,200707,22.6,82.5,22.8,26.7,19.4,1.6
충청북도,200707,23.4,78.0,22.6,27.8,20.2,1.5
충청남도,200707,24.0,80.2,24.1,28.2,20.8,1.8
대전광역시,200707,24.2,77.0,23.4,27.9,21.2,1.9
전라북도,200707,24.2,80.4,24.4,28.8,21.0,1.5
대구광역시,200707,24.8,73.0,22.9,28.8,21.5,2.2
울산광역시,200707,24.0,83.0,24.9,27.7,20.9,1.8
경상남도,200707,24.1,79.6,24.1,28.5,20.9,1.4
광주광역시,200707,25.1,78.0,25.1,29.0,22.1,2.0
부산광역시,200707,22.8,80.0,22.4,25.4,20.8,2.8
전라남도,200707,23.4,85.2,24.9,27.1,20.8,3.1
제주특별자치도,200707,24.8,81.8,25.8,27.6,22.5,3.0
세종특별자치시,200707,23.7,79.6,23.5,27.6,20.8,2.0
강원도,200708,24.6,79.4,24.7,29.0,21.2,1.8
경기도,200708,25.4,81.2,26.6,29.8,22.1,1.6
인천광역시,200708,24.8,82.7,26.2,27.8,22.4,3.2
서울특별시,200708,26.5,75.0,26.1,29.9,23.8,2.6
경상북도,200708,25.4,81.5,26.4,30.0,21.8,1.7
충청북도,200708,25.4,80.2,26.0,30.1,21.9,1.4
충청남도,200708,26.0,80.8,27.4,30.4,22.8,2.0
대전광역시,200708,26.1,79.0,26.8,30.1,23.1,1.8
전라북도,200708,26.3,80.3,27.6,31.1,23.1,1.7
대구광역시,200708,27.6,72.0,26.5,32.0,24.2,1.9
울산광역시,200708,27.5,78.0,28.7,31.6,24.0,2.3
경상남도,200708,26.7,79.7,27.9,31.0,23.5,1.6
광주광역시,200708,26.9,79.0,28.2,30.9,24.0,2.1
부산광역시,200708,26.7,78.0,27.5,29.5,24.5,3.4
전라남도,200708,26.0,85.9,29.0,29.7,23.4,3.4
제주특별자치도,200708,27.7,77.0,28.9,30.7,25.2,3.6
세종특별자치시,200708,26.2,79.4,27.2,30.2,23.2,2.3
강원도,200709,19.7,80.7,18.7,23.7,16.6,1.9
경기도,200709,20.5,80.8,19.7,25.0,17.2,1.4
인천광역시,200709,20.9,76.0,19.0,24.3,18.1,2.7
서울특별시,200709,21.5,74.0,19.2,25.1,18.6,2.5
경상북도,200709,20.6,83.7,20.5,24.7,17.5,1.7
충청북도,200709,20.6,82.0,20.0,25.1,17.2,1.5
충청남도,200709,21.3,81.2,20.7,25.6,17.8,1.9
대전광역시,200709,21.2,80.0,20.3,25.1,18.1,1.9
전라북도,200709,21.2,83.6,21.3,25.6,18.2,1.4
대구광역시,200709,22.4,76.0,20.6,25.8,19.4,2.0
울산광역시,200709,22.1,83.0,22.1,25.5,19.3,2.1
경상남도,200709,22.1,81.0,21.7,26.2,19.1,1.3
광주광역시,200709,22.3,82.0,22.4,26.1,19.4,2.0
부산광역시,200709,22.9,76.0,21.4,26.0,20.6,3.6
전라남도,200709,21.7,84.2,22.1,25.1,19.1,3.6
제주특별자치도,200709,24.1,77.2,23.6,26.8,21.8,4.2
